b		average			error				L
1.651	0.70348208		0.0414787835508 	20
1.675 	0.71503949 		0.0341373358107 	20
1.701 	0.71503949 		0.0341373358107 	20
1.725 	0.71503949 		0.0341373358107 	20
1.751 	0.736465915 	0.0213321281365 	20
1.775 	0.73760604 		0.0197688685092 	20
1.801 	0.290288385 	0.372190801234 		20
1.825 	0.27881359 		0.366427487157 		20
1.851 	0.27881359 		0.366427487157 		20
1.875 	0.27881359 		0.366427487157 		20
1.651	0.6998869232	0.021043569251 		50
1.675 	0.711878116 	0.0146114844832 	50
1.701 	0.711878116 	0.0146114844832 	50
1.725 	0.711878116 	0.0146114844832 	50
1.751 	0.7365866432 	0.0111377856298 	50
1.775 	0.7368079672 	0.0112108137532 	50
1.801 	0.3155171416 	0.0336088908713 	50
1.825 	0.3155196824 	0.0336206405867 	50
1.851 	0.3155196824 	0.0336206405867 	50
1.875 	0.3155196824 	0.0336206405867 	50
1.651	0.70274098		0.00999197212759 	100
1.675 	0.7126355204 	0.00730377330915 	100
1.701 	0.7126355204 	0.00730377330915 	100
1.725 	0.7126355204 	0.00730377330915 	100
1.751 	0.7343759382 	0.00556332416374 	100
1.775 	0.7343132582 	0.00514920121462 	100
1.801 	0.3156151682 	0.016878274974 		100
1.825 	0.315585919 	0.0168646023652 	100
1.851 	0.315585919 	0.0168646023652 	100
1.875 	0.315585919 	0.0168646023652 	100
